Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-17 00:00:00+05:30,3475.5385645504803,3503.285432379256,3428.4289060463657,3439.35791015625,185354,0.0,0.0
2024-01-18 00:00:00+05:30,3439.357797564679,3453.3310153560546,3381.51870551295,3395.990966796875,187213,0.0,0.0
2024-01-19 00:00:00+05:30,3430.4248702497434,3453.3309171717738,3392.99660937271,3404.474609375,144779,0.0,0.0
2024-01-23 00:00:00+05:30,3435.8146392760605,3445.995321756995,3332.1134959983838,3355.91796875,154574,0.0,0.0
2024-01-24 00:00:00+05:30,3355.9179860574263,3418.4480403330613,3325.625947559054,3413.757080078125,104919,0.0,0.0
2024-01-25 00:00:00+05:30,3421.442165159519,3421.442165159519,3323.629641184714,3338.15185546875,210184,0.0,0.0
2024-01-29 00:00:00+05:30,3353.5721912518325,3373.5339304854742,3289.8941943618,3317.740966796875,220222,0.0,0.0
2024-01-30 00:00:00+05:30,3333.6105099325277,3357.5146443453823,3296.6812917087245,3301.7216796875,137530,0.0,0.0
2024-01-31 00:00:00+05:30,3303.6680473322053,3418.448055018974,3280.512477124897,3410.96240234375,282092,0.0,0.0
2024-02-01 00:00:00+05:30,3409.0659856038565,3416.0525944623123,3308.907859713565,3316.243896484375,119362,0.0,0.0
2024-02-02 00:00:00+05:30,3345.7372632934253,3359.6108188959042,3313.6488634854327,3318.8388671875,62110,0.0,0.0
2024-02-05 00:00:00+05:30,3318.6391485011063,3323.6295833108825,3211.34480009092,3228.9609375,189760,0.0,0.0
2024-02-06 00:00:00+05:30,3215.037787455495,3288.6966566021197,3196.8726528365974,3255.2607421875,208032,0.0,0.0
2024-02-07 00:00:00+05:30,3213.8901505260164,3236.7961988506954,3024.303570222285,3087.28271484375,2573353,0.0,0.0
2024-02-08 00:00:00+05:30,3094.069719650549,3099.060154682243,3039.4744091385287,3067.5205078125,528933,0.0,0.0
2024-02-09 00:00:00+05:30,3080.5953950258963,3084.0886993779427,2995.3588663053984,3022.6064453125,328102,0.0,0.0
2024-02-12 00:00:00+05:30,3058.138419504437,3120.518853975399,3034.483807487763,3068.0693359375,263915,0.0,0.0
2024-02-13 00:00:00+05:30,3094.0696837995406,3108.4919921393093,3024.2035941653576,3097.56298828125,129061,0.0,0.0
2024-02-14 00:00:00+05:30,3059.136616694235,3109.0409660693444,3045.213351953295,3096.914306640625,92609,0.0,0.0
2024-02-15 00:00:00+05:30,3109.9391906920932,3133.9931848991287,3104.1005279371166,3120.119873046875,111368,0.0,0.0
2024-02-16 00:00:00+05:30,3127.0066446552337,3178.358173280079,3118.872332883067,3168.177734375,173996,0.0,0.0
2024-02-19 00:00:00+05:30,3179.8550863874416,3187.7898289470727,3154.154347289403,3166.28125,94090,0.0,0.0
2024-02-20 00:00:00+05:30,3150.9605383089297,3212.84192993869,3134.9911469206045,3197.37158203125,156900,0.0,0.0
2024-02-21 00:00:00+05:30,3227.51374191891,3227.51374191891,3145.0219524484496,3158.895263671875,216846,0.0,0.0
2024-02-22 00:00:00+05:30,3158.9452124691406,3203.7592192777097,3127.7050420439728,3188.189208984375,128532,0.0,0.0
2024-02-23 00:00:00+05:30,3198.8687793131285,3207.6020404110973,3136.687911560875,3144.672607421875,247817,0.0,0.0
2024-02-26 00:00:00+05:30,3144.6727228586806,3155.9511549110757,3094.818324981188,3102.95263671875,112245,0.0,0.0
2024-02-27 00:00:00+05:30,3109.04089088423,3122.914202205584,3069.3169810075597,3114.580322265625,132308,0.0,0.0
